"통계분류(1)",통계분류(2),1997,1997,1997,1997,1997,1997,1997,1997,1997,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,볼거리가 다양해야 한다,지나친 상업성 벗어나야 한다,사례수,계,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타,무응답,사례수,지역고유특성 살려야,홍보를 많이해야,편의시설 늘려야,교통불편 해소되야,주민참여가 많아져야,지나친 상업성 벗어나야 한다,기타
"전체",소계,571,100,20.3,11.7,10.3,5.8,18,33.3,0.5,639,100,21.8,10.3,12.4,6.9,8,39,1.3,0.5,807,100,26.1,12.5,11.6,8.9,7.1,33.5,0.2,1290,100,19.7,18.8,11.2,7.4,5.1,37.1,0.2,0.4,1947,100,19.8,14,11.9,7.7,3.9,0.1,42.7,2537,100,22.3,14.1,11.1,9.6,5.9,36,0.3,0.8,2735,26.6,18.4,10.2,8,4.8,31.7,0.4
"성별",남자,295,100,23.1,10.5,9.2,5.8,19.7,31.2,0.7,343,100,24.2,10.8,11.4,7.9,7,37.6,0.9,0.3,403,100,26.1,12.9,9.4,7.7,7.9,35.7,0.2,634,100,21.6,19.7,10.7,7.3,4.6,35.5,0.3,0.3,979,100,21.2,14.2,10.6,7.6,4.2,0.2,42,1260,100,22.6,14.6,10.7,8.6,7.1,35.1,0.6,0.8,1313,26.3,17.7,11.4,8.6,4.3,31.5,0.2
"성별",여자,276,100,17.4,13,11.6,5.8,16.3,35.5,0.4,296,100,18.9,9.8,13.5,5.7,9.1,40.5,1.7,0.7,404,100,26.2,12.1,13.9,10.1,6.2,31.2,0.2,656,100,17.8,18,11.7,7.6,5.6,38.6,0.2,0.5,968,100,18.4,13.7,13.1,7.9,3.5,0,43.4,1278,100,22,13.6,11.4,10.5,4.8,36.9,0.1,0.7,1422,26.8,19,9.1,7.5,5.2,31.8,0.5
"연령",10대,65,100,15.4,12.3,20,9.2,21.5,20,1.5,60,100,16.7,13.3,15,6.7,1.7,46.7,0,0,77,100,26,16.9,11.7,6.5,10.4,28.6,0,102,100,12.7,20.6,13.7,7.8,7.8,35.3,2,0,115,100,20,15.7,15.7,11.3,1.7,0,35.7,183,100,18.5,15.8,15.5,11.5,8.8,28.5,0.6,0.8,269,30.9,17.6,12,9.1,6.2,23.5,0.7
"연령",20대,133,100,18,14.3,9,4.5,14.3,38.3,1.5,150,100,16,8,12.7,8,8.7,44.7,1.3,0.7,195,100,33.8,11.8,12.3,9.7,6.2,25.6,0.5,263,100,19,18.6,12.5,6.8,3,39.9,0,0,331,100,19.9,14.8,14.2,4.5,3.9,0,42.6,376,100,19.6,13.3,15.4,11.4,8.9,30.2,0,1.2,370,29.9,23.5,6.8,9.7,3.1,26.4,0.5
"연령",30대,152,100,18.4,11.2,11.2,4.6,16.4,38.2,0,147,100,23.1,10.2,10.9,4.8,7.5,42.2,1.4,0,192,100,24,14.1,12,8.3,6.3,35.4,0,296,100,18.9,19.9,8.8,8.4,4.7,38.5,0.3,0.3,461,100,19.1,15.2,13,7.6,2.8,0,42.3,544,100,22.7,13.7,13.1,7.8,4,37.3,0.8,0.5,586,26.3,18.2,8.7,7,4.7,34.9,0.2
"연령",40대,105,100,25.7,7.6,3.8,9.5,22.9,30.5,0,124,100,25,5.6,12.9,8.1,6.5,41.1,0.8,0,148,100,23,10.1,12.2,7.4,8.1,39.2,0,281,100,21.7,18.1,12.8,8.5,4.3,33.8,0,0.7,449,100,19.4,14.9,9.6,7.8,4.7,0.2,43.4,568,100,23.9,13.3,7.5,7.4,4.1,43,0.2,0.5,622,25.4,16.8,11.8,7.4,3.1,35.3,0.2
"연령",50대,74,100,23,13.5,12.2,2.7,20.3,28.4,0,124,100,26.6,12.9,11.3,6.5,9.7,30.6,0.8,1.6,153,100,19.6,13.7,10.5,9.2,8.5,37.9,0.7,163,100,19,17.8,9.8,3.1,8.6,41.1,0,0.6,264,100,20.1,10.6,9.5,8.3,3.4,0,48.1,437,100,20.1,14.3,10.7,7.9,6.8,39.5,0.3,0.5,489,22.3,18.7,12.1,6.2,5,34.9,0.8
"연령",60대 이상,42,100,23.8,11.9,9.5,4.8,14.3,35.7,0,34,100,20.6,23.5,14.7,8.8,17.6,8.8,5.9,0,42,100,35.7,4.8,9.5,16.7,0,33.3,0,185,100,23.2,18.4,10.8,8.6,5.4,33,0,0.5,327,100,21.1,12.2,11.6,9.2,5.2,0.3,40.4,429,100,25.7,15.2,7.8,14,6.1,29.7,0.1,1.3,-,-,-,-,-,-,-,-
"연령",60대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,30.1,13.1,10.6,11.7,8.1,26.5,0
"연령",70대이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,25,21,7.9,9.2,7.7,29.3,0
"권역",수도권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1194,23.9,15.8,9.8,11.1,7.4,31.4,0.5
"권역",강원 제주권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,29.5,18.6,10.7,3.3,5,31.8,1.1
"권역",충청권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,402,21,24,12.7,5.2,4.2,32.2,0.6
"권역",호남권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,355,26.4,28.2,10.4,5.7,1.1,28.2,0
