"통계분류(1)",통계분류(2),2019,2019,2019,2019,2019,2019,2019,2019,2019
"통계분류(1)",통계분류(2),표본수,매우불만족,불만족,다소불만족,보통,다소만족,만족,매우만족,평균
"전체",소계,5917,0,0.5,1.8,16.4,37.5,36.5,7.2,5.29
"성별",남성,2779,0,0.6,1.8,16.5,37.9,36.3,6.9,5.28
"성별",여성,3138,0,0.5,1.9,16.3,37.1,36.7,7.5,5.3
"연령별",15~19세,325,0,0.5,0.8,16.3,38.7,30.6,13.1,5.37
"연령별",20대,893,0,0.7,1.4,14.8,41.6,35.3,6.1,5.28
"연령별",30대,1028,0,0.6,2.1,17.6,36,36.4,7.3,5.27
"연령별",40대,1212,0,0.7,2,18.4,36.6,36.3,5.8,5.23
"연령별",50대,1191,0,0.4,2,15.6,38.7,37,6.3,5.29
"연령별",60대,763,0.2,0.2,2.4,17.1,35,38,7.2,5.29
"연령별",70세이상,505,0,0.4,1.2,13.7,35.7,38.7,10.4,5.42
"학력별",초졸 이하,520,0.1,0,0.2,11.8,41.4,35.7,10.8,5.45
"학력별",중졸,618,0,1,2,14,37.1,36,10,5.35
"학력별",고졸,2280,0,0.4,1.7,17.2,37.8,37.2,5.7,5.27
"학력별",대졸이상,2499,0.1,0.7,2.3,17.1,36.5,36.1,7.2,5.27
"동거가구원수별",1인,884,0,0.3,0.9,16.1,39,35.7,8,5.33
"동거가구원수별",2인,1589,0.1,0.4,2,15.7,35.9,37.4,8.5,5.33
"동거가구원수별",3인이상,3444,0,0.6,1.9,16.7,37.9,36.3,6.6,5.27
"혼인상태별",미혼,1573,0,0.5,1.2,15.8,40.9,33.9,7.6,5.29
"혼인상태별",기혼,3790,0.1,0.5,2.2,16.6,36.4,37.4,6.9,5.28
"혼인상태별",사별/이혼/기타,554,0,0.7,0.9,16.7,35.7,37.4,8.5,5.34
"가구주여부별",가구주,2766,0,0.6,2,16.9,37.2,36.7,6.7,5.27
"가구주여부별",가구주 아님,3151,0,0.5,1.8,16,37.7,36.4,7.6,5.3
"종사자지위별",임금.봉급 근로자,2355,0.1,0.5,2.1,15.6,38.7,36.4,6.5,5.28
"종사자지위별",고용원을 둔 사업자,172,0,0.7,0.7,22,33.7,35.6,7.3,5.25
"종사자지위별",고용원이 없는 자영자,1126,0,0.4,2.7,18.3,37.5,36.3,4.8,5.21
"종사자지위별",무급가족종사자,158,0,0.4,0.7,13.5,36.8,41.6,7,5.39
"종사자지위별",해당없음(무직),2106,0,0.6,1.2,16,36.5,36.5,9.1,5.34
"가구소득별",100만원 미만,473,0,0.1,1.6,11.5,35.9,37.8,13,5.49
"가구소득별",100~200만원,576,0.1,1,2,17,36.4,34.6,8.8,5.28
"가구소득별",200~300만원,965,0.1,0.5,1.3,17.3,39.6,33.3,7.9,5.27
"가구소득별",300~400만원,1251,0,0.2,2.2,16.7,41,33.6,6.4,5.25
"가구소득별",400~500만원,1038,0,0.5,1.8,16.4,40.5,34.5,6.2,5.25
"가구소득별",500~600만원,830,0,0.7,1.7,14.4,33.6,43.2,6.4,5.36
"가구소득별",600만원 이상,784,0,0.7,2.2,18.7,33.2,38.9,6.4,5.27
"지역규모별",대도시,2462,0,0.3,1.8,13.3,41.6,36.6,6.4,5.31
"지역규모별",중소도시,1890,0,0.7,2.3,18.2,35,36.6,7.2,5.26
"지역규모별",읍면지역,1565,0.1,0.6,1.3,19.5,33.5,36.3,8.7,5.3
"권역별",수도권,1651,0,0.3,1.8,13.1,39.8,38.9,6,5.33
"권역별",강원/제주권,433,0.2,0.5,2.3,28.9,33.5,32.5,2.3,5.01
"권역별",충청/세종권,1082,0.1,1,1.6,19.3,37.4,32.6,8,5.23
"권역별",호남권,1027,0.1,0.2,1,14.6,32.6,39.6,11.9,5.46
"권역별",대경권,1064,0,1,2,21.6,39.3,29.7,6.4,5.14
"권역별",동남권,660,0,0.6,2.9,15.4,31.3,40.3,9.4,5.36
"17개 시도별",서울,658,0,0.2,2,13.9,44.7,34.2,5.1,5.26
"17개 시도별",부산,409,0,0.7,3.1,13,32.8,42.5,8.1,5.37
"17개 시도별",대구,325,0,0,2,14.3,36.9,41,5.9,5.35
"17개 시도별",인천,324,0.2,1.8,0.7,8.2,49.5,34.2,5.3,5.29
"17개 시도별",광주,318,0.3,0,0,6.8,36.5,44.7,11.7,5.6
"17개 시도별",대전,311,0,0.3,0.3,16.5,44.3,34.5,4.1,5.25
"17개 시도별",울산,251,0,0.5,2.2,22.8,27.1,33.9,13.5,5.32
"17개 시도별",세종,152,0,2.7,1.8,17.3,16.9,53.5,7.9,5.4
"17개 시도별",경기,669,0,0.1,1.9,13.4,33.4,44.2,7,5.41
"17개 시도별",강원,276,0.2,0.5,2.2,31.1,33.9,29.8,2.4,4.97
"17개 시도별",충북,260,0.3,1.9,1.8,20.8,26.3,29.2,19.6,5.37
"17개 시도별",충남,359,0,0.6,2.3,20.5,42.9,30.1,3.5,5.1
"17개 시도별",전북,343,0,0,0.6,19.7,36.2,40,3.6,5.26
"17개 시도별",전남,366,0,0.5,2.3,15.2,26.3,35.5,20.3,5.55
"17개 시도별",경북,306,0,2.3,2.1,21.2,44.7,23.2,6.6,5.04
"17개 시도별",경남,433,0,0.7,2,26.1,37.5,27.1,6.5,5.08
"17개 시도별",제주,157,0,0.6,2.7,22.1,32.2,40.4,1.9,5.15
"장애여부별",해당사항없음,5810,0,0.5,1.9,16.5,37.4,36.6,7.1,5.29
"장애여부별",미등록,35,0,0,0,10.9,35.3,33.3,20.5,5.63
"장애여부별",장애등록,63,0,0,1.9,6.4,50.8,35.3,5.7,5.37
"장애여부별",무응답,9,0,0,0,62.3,20.7,10.4,6.5,4.61
