,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,주소,위도,경도
918,해변가요제,울릉군 저동항,2022-07-29,2022-07-30,해변가요제,울릉청년단,054-790-6426,울릉군 울릉읍 저동리,37.4955239,130.9097003
919,울릉도오징어축제,울릉군 일원,2022-08-27,2022-08-29,오징어축제,울릉군축제위원회,054-790-6426,울릉군 울릉읍 저동리,37.4955239,130.9097003
917,회당문화축제,울릉군 도동항,2022-06-27,2022-06-29,회당문화축제,대한불교진각종,054-790-6426,울릉군 울릉읍 도동1길 5-42,37.4819992,130.9082172
915,달맞이축제,울릉예술문화체험장(구.장흥초등학교),2022-02-15,2022-02-15,달집태우기,정월대보름 장흥달맞이 놀이마당추진위원회,054-790-6426,경상북도 울릉군 울릉읍 옥천길 8,37.47367561,130.8875026
914,민속그네뛰기,사동 자생식물원,2022-06-03,2022-06-03,그네뛰기,울릉문화원,054-790-6426,경상북도 울릉군 울릉읍 간령길 83-18,37.46024044,130.8735494
916,태하성하신당제,서면 태하 성하신당,2022-04-12,2022-04-12,기원행사,울릉문화원,054-790-6426,경상북도 울릉군 서면 태하길 154,37.51222566,130.800884
174,영덕물가자미축제,축산항 일원,2019-04-25,2019-04-28,물가자미 홍보 및 체험 축제,경상북도청+경상북도 영덕군청,054-730-6092,경상북도 영덕군 축산면 축산리 216-3,36.509106,129.446771
1389,국악의 향연,꽃바위문화관 3층 다목적공연장,2021-05-24,2021-05-24,국악,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
1390,리차드 로의 재즈톡,꽃바위문화관 3층 다목적공연장,2021-06-24,2021-06-24,재즈,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
1391,나 때는 말이야,꽃바위문화관 3층 다목적공연장,2021-07-22,2021-07-22,힙합,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
1392,힐링 개그 콘서트,꽃바위문화관 3층 다목적공연장,2021-08-26,2021-08-26,개그x싱어롱,꽃바위문화관,052-209-4330,울산광역시 동구 문현3길 6,35.48705813,129.4112633
