,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도
93,제13회 남한강축제,법천소공원,2023-07-29,2023-07-30,문화예술공연+노래자랑 등,남한강축제위원회,033-737-5630,,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249
94,치악산찰옥수수축제,문막체육공원,2023-07-01,2023-07-01,지역 옥수수 판매 및 농특산물 직거래장터 운영 등,문막농업협동조합,033-737-1164,,,,강원도 원주시 문막읍 문막리 329-45,37.3087155,127.8115249
95,치악산복숭아축제,댄싱공연장 일원,2023-08-01,2023-08-01,지역 복숭아 판매+품평회+기타 등,치악산복숭아 원주시협의회,033-737-4131,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
96,2023 원주 댄싱카니발,댄싱공연장 일원,2023-09-22,2023-09-24,댄싱경연+문화예술공연+각종 체험 등,강원도 원주시청,033-737-5123,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
97,원주삼토페스티벌,종합운동장 일원,2023-09-14,2023-09-17,농촌문화체험+지역먹거리 판매 등,강원도 원주시청+원주시농업인단체연합회,033-737-4155,,,강원도 원주시 서원대로 311,강원도 원주시 명륜동 342,37.3368381,127.943687
98,치악산한우축제,댄싱공연장 주차장,2023-10-01,2023-10-01,지역 한우 판매 등,농업기술센터 축산과,033-737-4195,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
99,원주 독서대전,시립중앙도서관,2023-10-01,2023-10-01,학술토론+전시체험 등,평생교육원 시립중앙 도서관,033-737-3817,,,강원도 원주시 단구로 170,강원도 원주시 명륜동 345,37.3364295,127.9462614
100,원주 평생학습 축제,원주문화원 일원,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,원주시 평생교육원 학습관,033-737-3808,www.wonju.go.kr,,강원도 원주시 원일로 139,강원도 원주시 일산동 211,37.3515851,127.9467947
113,2023년 제15회 대한민국 청소년 트로트 가요제,스포츠파크 일원,2023-05-20,2023-05-20,청소년 트로트 가요제 결선,(사)한국예술문화단체총연합회 거창지회,055-943-0123,,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332
114,계양산국악제,계산체육공원+계양문화회관,2023-04-21,2023-04-22,국악경연대회(예선 : 온라인심사+결선 : 대면심사)+축하·기획·특별공연(온오프병행),인천광역시 계양구청,032-450-5874,,,인천광역시 계양구 주부토로 570,,37.545044,126.728998
115,장미꽃 필(feel)무렵,이곡장미공원,2023-05-19,2023-05-21,움직이는 포토존 + 장미꽃 홍보단 + 장미 시화전 + 체험 프로그램 운영,(재)달서문화재단,053-584-9771,http://www.dscf.or.kr,,,대구광역시 달서구 이곡동 1306-6,35.85779894,128.5147832
180,구로G페스티벌,서울특별시 구로구 안양천,2023-10-06,2023-10-08,구민이 주체가 되어 자발적으로 참여하는 구로구민을 위한 비대면 축제,서울특별시 구로구청,02-860-2282,www.gfestival.co.kr,,서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435,37.49551123,126.8882891
181,여수동동북축제,용기공원 및 선소일원,2023-10-21,2023-10-22,북퍼레이드+아티스트공연+북전시및체험행사+경연대회,전라남도 여수시청,061-659-4743,http://www.yeosu.go.kr/dongdong,,전라남도 여수시 소호로 606,전라남도 여수시 학동 201,34.75590207,127.6572796
182,청년거리문화축제,여수시 일원,2023-04-01,2023-12-31,거리공연+프리마켓 등,전라남도 여수시청,061-659-4745,,,전라남도 여수시 시청로 1,전라남도 여수시 학동 100,34.76014841,127.661568
184,연천구석기축제,연천전곡리유적,2023-05-04,2023-05-07,선사문화체험+전시+이벤트,경기도 연천군청,031-839-2378,https://www.yeoncheon.go.kr/festival/,,경기도 연천군 전곡읍 양연로 1510,경기도 연천군 전곡읍 전곡리 515,38.01564838,127.0614526
185,동해무릉제,동해웰빙레포츠타운,2023-09-22,2023-09-24,개막식+퍼레이드+공연행사+체험행사+동대항 민속경기+민속예술시연,강원특별자치도 동해시청,033-530-2111,,,강원특별자치도 동해시 덕골길 10,강원특별자치도 동해시 천곡동 363-1,37.51606095,129.1021986
186,천만송이 국화축제,중앙체육공원,2023-10-21,2023-10-30,국화축제,전라북도 익산시청,063-859-4977,https://www.iksan.go.kr/gukhwa/index.iksan,국화전시+국화우수작품전시+농산물판매장+체험장,전라북도 익산시 하나로 322,,35.94972951,126.9861274
187,삼강주막나루터축제,삼강문화단지,2023-09-29,2023-10-01,K-세일즈맨의 하루+보부상운동회,경상북도 예천군,054-650-6031,https://www.ycg.kr/open.content/samgang/,,경상북도 예천군 풍양면 삼강리길 33,경상북도 예천군 풍양면 삼강리 117-2,36.5638688,128.2992955
190,2023년 부처님 오신 날 연등축제,거창군청 앞 문화광장,2023-05-06,2023-05-27,부처님 오신 날 연등 점등식,(사)거창불교사암연합회,055-940-3413,,,경상남도 거창군 거창읍 중앙로 103,경상남도 거창군 거창읍 상림리 64-1,35.68667584,127.9095332
256,거문도백도은빛바다체험행사,삼산면 거문도 일원,2023-08-04,2022-08-05,길놀이+은빛가요제+맨손활어잡기+지인망끌기체험,전라남도 여수시청,061-659-4743,,,전라남도 여수시 삼산면 거문길 28-10,전라남도 여수시 삼산면 거문리 111-35,34.02575979,127.311945
257,여수밤바다 불꽃축제,이순신 광장 및 장군도 앞 해상,2023-10-28,2023-10-28,공연행사+불꽃쇼+불꽃사진콘테스트,전라남도 여수시청,061-659-4742,https://www.yeosu.go.kr/ysff,,,전라남도 여수시 중앙동 385-6,34.7388016,127.7366067
258,여수향일암일출기원한마당,돌산읍 임포마을 일원,2023-12-31,2024-01-01,재야의종타종식+일출기원제례+소망행사,전라남도 여수시청,061-659-4743,,,전라남도 여수시 향일암로 60 종무소,전라남도 여수시 돌산읍 율림리 산7,34.59379448,127.8029861
265,인천펜타포트 음악축제,송도달빛축제공원,2023-08-04,2023-08-06,국내·외 아티스트 콘서트,인천광역시청,,https://pentaport.co.kr/,,인천광역시 연수구 센트럴로 350,,0.0,0.0
